keyword,page,text,exhibit,provider,exhibit_page
pain,1,report - appeals - 3441_7e: recent medical treatment - 4631_8e: pain questionnaire / report - painq_9e: disability report - field,1,,
disability,1,06/25/2021_alleged onset: 01/01/2010__claim type: t16_application: 02/10/2020_last insured: n/a__a. payment documents/decisions_title_1a: disability determination explanation - dde_2a: disability determination transmittal - 831_3a:,1,,
disability,2,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__disability,1A-1,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 1 of 12)
fracture,3,legs and feet chronic headaches depression asthma jallergies chronic compression fracture thoracic spine the individual alleges inability to function and/or,1A-2,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 2 of 12)
disability,3,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__nurnbness,1A-2,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 2 of 12)
disability,4,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__,1A-3,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 3 of 12)
disability,5,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__,1A-4,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 4 of 12)
moderate,6,given an rfc of mediurn work but must avoid even moderate exposure to furnes/odors/dusts / gases | poor veritilation etc.,1A-5,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 5 of 12)
surgery,6,ankle a couple of years ago and had to have surgery on it. so it is hard to walk or,1A-5,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 5 of 12)
stand,6,surgery on it. so it is hard to walk or stand for very long tirne. my last back surgery was,1A-5,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 5 of 12)
walk,6,to have surgery on it. so it is hard to walk or stand for very long tirne. my last back,1A-5,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 5 of 12)
pain,6,on top of that i got mrsa. i have chronic pain all the tirne. it's hard for me to get,1A-5,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 5 of 12)
fracture,6,"and feet, chronic headaches, depression, asthma, allergies, and chronic compression fracture of the thoracic spine. hidden allegations of broken ankle,",1A-5,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 5 of 12)
disability,6,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__source,1A-5,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 5 of 12)
mri,7,"2/26/20, still having back pain from recent fall; referred for mri mental catawba valley psychiatric services 10/7/19, psych med refills",1A-6,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 6 of 12)
severe,7,impairments? yes impairment priority severity 7240 - spine disorders primary severe 3000 - anxiety and obsessive-compulsive disorders secondary non severe,1A-6,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 6 of 12)
pain,7,"neurosurgery and spine associat 2/10/20, seen for left lower extremity pain due to fall; ct shows old t11 fracture; pe",1A-6,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 6 of 12)
disability,7,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__piedmont,1A-6,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 6 of 12)
mild,8,06/11/2020__back to top__——e—— ne ees eee adapt or manage oneself: mild 'c' criteria of the listings evidence does not establish,1A-7,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 7 of 12)
pain,8,assessment of policy issues symptoms evaluation list the claimant's symptoms: pain can one or more of the individual's medically determinable,1A-7,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 7 of 12)
disability,8,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__——e——,1A-7,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 7 of 12)
symptoms,8,"stable on meds; ""actually functioning quite well...doing remarkably well."" overall symptoms are non-severe when compliant with medications. **pc: agree with",1A-7,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 7 of 12)
stand,9,hour day) lift and/or carry (including upward pulling): 25 pounds stand and/or walk (with normal breaks) for a total of:,1A-8,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 8 of 12)
walk,9,lift and/or carry (including upward pulling): 25 pounds stand and/or walk (with normal breaks) for a total of: about 6,1A-8,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 8 of 12)
disability,9,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__tgs,1A-8,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 8 of 12)
symptoms,9,"about the intensity, persistence, and functionally limiting effects of the symptoms substantiated by the objective medical evidence alone? yes evaluating",1A-8,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 8 of 12)
pain,10,"neurosurgery and spine on 2/10/20, seen for left lower extremity pain due to fall; ct shows old t11 fracture; pe",1A-9,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 9 of 12)
extreme,10,have environmental limitations? yes rate the individual's environmental limitations: rfc extreme cold: unlimited extreme heat: unlimited wetness: unlirnted humidity: unlimited,1A-9,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 9 of 12)
fracture,10,"legs and feet, chronic headaches, asthrna, allergies, and chronic compression fracture of the thoracic spine. seen at piedmont plastic surgery&dermat",1A-9,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 9 of 12)
disability,10,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__stooping,1A-9,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 9 of 12)
surgery,11,"be an old chronic thoracic fracture. per available meor, no surgery has been advised. history of asthma with no recent",1A-10,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 10 of 12)
disability,11,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__the,1A-10,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 10 of 12)
disability,12,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__application,1A-11,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 11 of 12)
disabled,12,"determination based on the documented findings, select the determination: not disabled is there medical evidence of daa? there is no",1A-11,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 11 of 12)
strength,12,"work because of the impairments? no based on the seven strength factors of the physical rfc (lifting ‘carrying, standing, walking,",1A-11,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 11 of 12)
disability,13,disability determination explanation - dde dec. dt.: 06/11/2020__back to top__disability,1A-12,1A: Disability Determination Explanation - DDE Dec. Dt.: 06/11/2020 (12 pages),(page 12 of 12)
disability,14,disability determination transmittal - 831 dec. dt.: 06/11/2020__back to top__social,2A-1,2A: Disability Determination Transmittal - 831 Dec. Dt.: 06/11/2020 (1 pages),(page 1 of 1)
disabled,14,        15. claimant disabled t6a. primary diagnosis body sys. code no. t6b. secondary,2A-1,2A: Disability Determination Transmittal - 831 Dec. Dt.: 06/11/2020 (1 pages),(page 1 of 1)
disability,15,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__disability,3A-1,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 1 of 18)
fracture,16,in legs and feet; chronic headaches; depression; asthma/allergies; chronic compression fracture thoracic spine; the individual alleges inability to function and/or,3A-2,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 2 of 18)
disability,16,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__representative's,3A-2,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 2 of 18)
pain,17,opinion hf       evidence type pain questnre   level reconsideration    ,3A-3,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 3 of 18)
disability,17,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__no,3A-3,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 3 of 18)
disability,18,disability determination explanation - dde dec. dt.: 01/19/2021__back to top__,3A-4,3A: Disability Determination Explanation - DDE Dec. Dt.: 01/19/2021 (18 pages),(page 4 of 18)
